txn_id,settlement_batch,settlement_date,upi_txn_ref,payer_vpa,payer_bank,payee_vpa,payee_bank,amount,currency,status,settlement_flag,remarks
NPCI_TXN_001,SB-20260817-001,2026-08-17T09:30:00Z,UPI817234561001,user1@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,1500.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_002,SB-20260817-001,2026-08-17T09:45:00Z,UPI817234561002,user2@okicici,ICICI Bank,slice@hdfc,HDFC Bank,2500.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_003,SB-20260817-001,2026-08-17T10:00:00Z,UPI817234561003,user3@oksbi,State Bank of India,slice@hdfc,HDFC Bank,499.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_004,SB-20260817-001,2026-08-17T10:15:00Z,UPI817234561004,user4@okaxis,Axis Bank,slice@hdfc,HDFC Bank,12000.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_005,SB-20260817-001,2026-08-17T10:30:00Z,UPI817234561005,user5@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,3200.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_006,SB-20260817-001,2026-08-17T10:45:00Z,UPI817234561006,user6@okicici,ICICI Bank,slice@hdfc,HDFC Bank,7800.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_007,SB-20260817-001,2026-08-17T11:00:00Z,UPI817234561007,user7@oksbi,State Bank of India,slice@hdfc,HDFC Bank,450.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_008,SB-20260817-001,2026-08-17T11:15:00Z,UPI817234561008,user8@okaxis,Axis Bank,slice@hdfc,HDFC Bank,2200.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_009,SB-20260817-001,2026-08-17T11:30:00Z,UPI817234561009,user9@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,15000.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_010,SB-20260817-001,2026-08-17T11:45:00Z,UPI817234561010,user10@okicici,ICICI Bank,slice@hdfc,HDFC Bank,950.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_011,SB-20260817-002,2026-08-17T14:00:00Z,UPI817234561011,user11@oksbi,State Bank of India,slice@hdfc,HDFC Bank,6200.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_012,SB-20260817-002,2026-08-17T14:15:00Z,UPI817234561012,user12@okaxis,Axis Bank,slice@hdfc,HDFC Bank,1800.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_013,SB-20260817-002,2026-08-17T14:30:00Z,UPI817234561013,user13@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,3400.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_014,SB-20260817-002,2026-08-17T14:45:00Z,UPI817234561014,user14@okicici,ICICI Bank,slice@hdfc,HDFC Bank,8900.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_015,SB-20260817-002,2026-08-17T15:00:00Z,UPI817234561015,user15@oksbi,State Bank of India,slice@hdfc,HDFC Bank,1100.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_016,SB-20260817-002,2026-08-17T15:15:00Z,UPI817234561016,user16@okaxis,Axis Bank,slice@hdfc,HDFC Bank,5600.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_017,SB-20260817-002,2026-08-17T15:30:00Z,UPI817234561017,user17@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,720.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_018,SB-20260817-002,2026-08-17T15:45:00Z,UPI817234561018,user18@okicici,ICICI Bank,slice@hdfc,HDFC Bank,4300.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_019,SB-20260817-002,2026-08-17T16:00:00Z,UPI817234561019,user19@oksbi,State Bank of India,slice@hdfc,HDFC Bank,2100.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_020,SB-20260817-002,2026-08-17T16:15:00Z,UPI817234561020,user20@okaxis,Axis Bank,slice@hdfc,HDFC Bank,9900.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_021,SB-20260817-003,2026-08-17T18:00:00Z,UPI817234561021,user21@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,1750.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_022,SB-20260817-003,2026-08-17T18:15:00Z,UPI817234561022,user22@okicici,ICICI Bank,slice@hdfc,HDFC Bank,3800.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_023,SB-20260817-003,2026-08-17T18:30:00Z,UPI817234561023,user23@oksbi,State Bank of India,slice@hdfc,HDFC Bank,640.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_024,SB-20260817-003,2026-08-17T18:45:00Z,UPI817234561024,user24@okaxis,Axis Bank,slice@hdfc,HDFC Bank,12500.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_025,SB-20260817-003,2026-08-17T19:00:00Z,UPI817234561025,user25@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,2900.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_026,SB-20260817-003,2026-08-17T19:15:00Z,UPI817234561026,user26@okicici,ICICI Bank,slice@hdfc,HDFC Bank,8100.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_027,SB-20260817-003,2026-08-17T19:30:00Z,UPI817234561027,user27@oksbi,State Bank of India,slice@hdfc,HDFC Bank,1550.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_028,SB-20260817-003,2026-08-17T19:45:00Z,UPI817234561028,user28@okaxis,Axis Bank,slice@hdfc,HDFC Bank,4700.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_029,SB-20260817-003,2026-08-17T20:00:00Z,UPI817234561029,user29@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,680.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_030,SB-20260817-003,2026-08-17T20:15:00Z,UPI817234561030,user30@okicici,ICICI Bank,slice@hdfc,HDFC Bank,10500.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_031,SB-20260817-004,2026-08-18T08:00:00Z,UPI818234561031,user31@oksbi,State Bank of India,slice@hdfc,HDFC Bank,2300.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_032,SB-20260817-004,2026-08-18T08:15:00Z,UPI818234561032,user32@okaxis,Axis Bank,slice@hdfc,HDFC Bank,5100.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_033,SB-20260817-004,2026-08-18T08:30:00Z,UPI818234561033,user33@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,890.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_034,SB-20260817-004,2026-08-18T08:45:00Z,UPI818234561034,user34@okicici,ICICI Bank,slice@hdfc,HDFC Bank,14200.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_035,SB-20260817-004,2026-08-18T09:00:00Z,UPI818234561035,user35@oksbi,State Bank of India,slice@hdfc,HDFC Bank,3100.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_036,SB-20260817-004,2026-08-18T09:15:00Z,UPI818234561036,user36@okaxis,Axis Bank,slice@hdfc,HDFC Bank,7600.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_037,SB-20260817-004,2026-08-18T09:30:00Z,UPI818234561037,user37@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,1350.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_038,SB-20260817-004,2026-08-18T09:45:00Z,UPI818234561038,user38@okicici,ICICI Bank,slice@hdfc,HDFC Bank,4200.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_039,SB-20260817-004,2026-08-18T10:00:00Z,UPI818234561039,user39@oksbi,State Bank of India,slice@hdfc,HDFC Bank,970.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_040,SB-20260817-004,2026-08-18T10:15:00Z,UPI818234561040,user40@okaxis,Axis Bank,slice@hdfc,HDFC Bank,11800.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_041,SB-20260817-005,2026-08-18T12:00:00Z,UPI818234561041,user41@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,1950.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_042,SB-20260817-005,2026-08-18T12:15:00Z,UPI818234561042,user42@okicici,ICICI Bank,slice@hdfc,HDFC Bank,3600.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_043,SB-20260817-005,2026-08-18T12:30:00Z,UPI818234561043,user43@oksbi,State Bank of India,slice@hdfc,HDFC Bank,550.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_044,SB-20260817-005,2026-08-18T12:45:00Z,UPI818234561044,user44@okaxis,Axis Bank,slice@hdfc,HDFC Bank,8700.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_045,SB-20260817-005,2026-08-18T13:00:00Z,UPI818234561045,user45@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,2800.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_046,SB-20260817-005,2026-08-18T13:15:00Z,UPI818234561046,user46@okicici,ICICI Bank,slice@hdfc,HDFC Bank,6400.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_047,SB-20260817-005,2026-08-18T13:30:00Z,UPI818234561047,user47@oksbi,State Bank of India,slice@hdfc,HDFC Bank,1200.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_048,SB-20260817-005,2026-08-18T13:45:00Z,UPI818234561048,user48@okaxis,Axis Bank,slice@hdfc,HDFC Bank,5300.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_049,SB-20260817-005,2026-08-18T14:00:00Z,UPI818234561049,user49@okhdfc,HDFC Bank,slice@hdfc,HDFC Bank,740.00,INR,SUCCESS,SETTLED,UPI credit repayment
NPCI_TXN_050,SB-20260817-005,2026-08-18T14:15:00Z,UPI818234561050,user50@okicici,ICICI Bank,slice@hdfc,HDFC Bank,9600.00,INR,SUCCESS,SETTLED,UPI credit repayment
